name,id,all_cleaned
Bulbasaur,1,"Bulbasaur: id: 1 - nickname: Seed Pokémon - type: grass and poison - height: 0.7 - weight: 6.9; descriptions: While it is young, it uses the nutrients that are stored in the seeds on its back in order to grow.; There is a plant seed on its back right from the day this Pokémon is born. The seed slowly grows larger.; A strange seed was planted on its back at birth. The plant sprouts and grows with this Pokémon.; It can go for days without eating a single morsel. In the bulb on its back, it stores energy.; The seed on its back is filled with nutrients. The seed grows steadily larger as its body grows.; It carries a seed on its back right from birth. As it grows older, the seed also grows larger.; For some time after its birth, it grows by gaining nourishment from the seed on its back.; While it is young, it uses the nutrients that are stored in the seed on its back in order to grow.; Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun's rays, the seed grows progressively larger."
Ivysaur,2,"Ivysaur: id: 2 - nickname: Seed Pokémon - type: grass and poison - height: 1.0 - weight: 13.0; descriptions: The bulb on its back grows by drawing energy. It gives off an aroma when it is ready to bloom.; If the bud on its back starts to smell sweet, it is evidence that the large flower will soon bloom.; There is a bud on this Pokémon's back. To support its weight, Ivysaur's legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it's a sign that the bud will bloom into a large flower soon.; To support its bulb, Ivysaur's legs grow sturdy. If it spends more time lying in the sunlight, the bud will soon bloom into a large flower.; The bud on its back grows by drawing energy. It gives off an aroma when it is ready to bloom.; When the bud on its back starts swelling, a sweet aroma wafts to indicate the flower's coming bloom.; The bulb on its back grows as it absorbs nutrients. The bulb gives off a pleasant aroma when it blooms.; There is a plant bulb on its back. When it absorbs nutrients, the bulb is said to blossom into a large flower.; Exposure to sunlight adds to its strength. Sunlight also makes the bud on its back grow larger.; When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs."
Venusaur,3,"Venusaur: id: 3 - nickname: Seed Pokémon - type: grass and poison - height: 2.0 - weight: 100.0; descriptions: Its plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.; There is a large flower on Venusaur's back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower's aroma soothes the emotions of people.; It is able to con vert sunlight into energy. As a result, it is more powerful in the summertime.; Venusaur's flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower's aroma soothes the emotions of people.; The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.; By spreading the broad petals of its flower and catching the sun's rays, it fills its body with power.; As it warms it self and absorbs the sunlight, its flower petals release a pleasant fragrance.; A bewitching aroma wafts from its flower. The fragrance becalms those engaged in a battle.; After a rainy day, the flower on its back smells stronger. The scent attracts other Pokémon.; The flower on its back catches the sun's rays. The sunlight is then absorbed and used for energy."
Charmander,4,"Charmander: id: 4 - nickname: Lizard Pokémon - type: fire - height: 0.6 - weight: 8.5; descriptions: The fire on the tip of its tail is a measure of its life. If healthy, its tail burns intensely.; The flame on its tail shows the strength of its life force. If it is weak, the flame also burns weakly.; The flame on its tail indicates Charmander's life force. If it is healthy, the flame burns brightly.; The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is enjoying itself. If the Pokémon becomes enraged, the flame burns fiercely.; The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is happy, and blazes when it is enraged.; Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail.; If it's healthy, the flame on the tip of its tail will burn vigor ously, even if it gets a bit wet.; It has a preference for hot things. When it rains, steam is said to spout from the tip of its tail.; The flame at the tip of its tail makes a sound as it burns. You can only hear it in quiet places.; From the time it is born, a flame burns at the tip of its tail. Its life would end if the flame were to go out."
Charmeleon,5,"Charmeleon: id: 5 - nickname: Flame Pokémon - type: fire - height: 1.1 - weight: 19.0; descriptions: It is very hot headed by nature, so it constantly seeks opponents. It calms down only when it wins.; If it becomes agitated during battle, it spouts intense flames, incinerating its surroundings.; When it swings its burning tail, it elevates the air temperature to unbearably high levels.; Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color.; In the rocky mountains where Charmeleon live, their fiery tails shine at night like stars.; Tough fights could excite this Pokémon. When excited, it may blow out bluish white flames.; It has a barbaric nature. In battle, it whips its fiery tail around and slashes away with sharp claws.; Tough fights could excite this Pokémon. When excited, it may breathe out bluish white flames.; Without pity, its sharp claws destroy foes. If it encounters a strong enemy, it becomes agitated, and the flame on its tail flares with a bluish white color.; It lashes about with its tail to knock down its foe. It then tears up the fallen opponent with sharp claws.; When it swings its burning tail, it elevates the temperature to unbearably high levels."
Charizard,6,"Charizard: id: 6 - nickname: Flame Pokémon - type: fire and flying - height: 1.7 - weight: 90.5; descriptions: When this Pokémon expels a blast of superhot fire, the red flame at the tip of its tail burns more intensely.; When expelling a blast of superhot fire, the red flame at the tip of its tail burns more intensely.; A Charizard flies about in search of strong opponents. It breathes intense flames that can melt any material. However, it will never torch a weaker foe.; Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself.; Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.; It spits fire that is hot enough to melt boulders. It may cause forest fires by blowing flames.; If Charizard becomes furious, the flame at the tip of its tail flares up in a light blue shade.; Its wings can carry this Pokémon close to an altitude of 4,600 feet. It blows out fire at very high temperatures.; Breathing intense, hot flames, it can melt almost any thing. Its breath inflicts terrible pain on enemies.; It uses its wings to fly high. The temperature of its fire increases as it gains exper ience in battle.; It is said that Charizard's fire burns hotter if it has experienced harsh battles.; If Charizard be comes furious, the flame at the tip of its tail flares up in a whitish blue color."
Squirtle,7,"Squirtle: id: 7 - nickname: Tiny Turtle Pokémon - type: water - height: 0.5 - weight: 9.0; descriptions: It shelters itself in its shell, then strikes back with spouts of water at every opportunity.; When it retracts its long neck into its shell, it squirts out water with vigorous force.; Its shell is not just for protection. Its rounded shape and the grooves on its surface minimize resistance in water, enabling Squirtle to swim at high speeds.; When it feels threatened, it draws its legs inside its shell and sprays water from its mouth.; The shell, which hardens soon after it is born, is resilient. If you poke it, it will bounce back out.; Squirtle's shell is not merely used for protection. The shell's rounded shape and the grooves on its surface help minimize resistance in water, enabling this Pokémon to swim at high speeds.; The shell is soft when it is born. It soon becomes so resilient, prod ding fingers will bounce off it.; After birth, its back swells and hardens into a shell. It powerfully sprays foam from its mouth.; When it feels threatened, it draws its limbs inside its shell and sprays water from its mouth.; After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth.; Shoots water at prey while in the water. Withdraws into its shell when in danger."
Wartortle,8,"Wartortle: id: 8 - nickname: Turtle Pokémon - type: water - height: 1.0 - weight: 22.5; descriptions: Its long, furry tail is a symbol of longevity, making it quite popular among older people.; It is said to live 10,000 years. Its furry tail is popular as a symbol of longevity.; When tapped, this Pokémon will pull in its head, but its tail will still stick out a little bit.; It often hides in water to stalk unwary prey. For fast swimming, it moves its ears to maintain balance.; It is a well established symbol of longevity. If its shell has algae on it, that Wartortle is very old.; Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as Wartortle ages. The scratches on its shell are evidence of this Pokémon's toughness as a battler.; It cleverly con trols its furry ears and tail to maintain its balance while swimming.; Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance.; This Pokémon is very popular as a pet. Its fur covered tail is a symbol of its longevity.; It is recognized as a symbol of longevity. If its shell has algae on it, that Wartortle is very old.; Its large tail is covered with rich, thick fur that deepens in color with age. The scratches on its shell are evidence of this Pokémon's toughness in battle.; When tapped on its head, this Pokémon will pull it in, but its tail will still stick out a little bit."
Blastoise,9,"Blastoise: id: 9 - nickname: Shellfish Pokémon - type: water - height: 1.6 - weight: 85.5; descriptions: It firmly plants its feet on the ground before shooting water from the jets on its back.; The waterspouts that protrude from its shell are highly accurate. Their bullets of water can precisely nail tin cans from a distance of over 160 feet.; Once it takes aim at its enemy, it blasts out water with even more force than a fire hose.; The pressurized water jets on this brutal Pokémon's shell are used for high speed tackles.; It deliberately makes itself heavy so it can withstand the recoil of the water jets it fires.; Blastoise has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet.; A brutal Pokémon with pressurized water jets on its shell. They are used for high speed tackles.; It crushes its foe under its heavy body to cause fainting. In a pinch, it will withdraw inside its shell.; The rocket cannons on its shell fire jets of water capable of punch ing holes through thick steel.; The jets of water it spouts from the rocket cannons on its shell can punch through thick steel."
Caterpie,10,"Caterpie: id: 10 - nickname: Worm Pokémon - type: bug - height: 0.3 - weight: 2.9; descriptions: For protection, it releases a horri ble stench from the antenna on its head to drive away enemies.; Its feet have suction cups designed to stick to any surface. It tenaciously climbs trees to forage.; Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.; For protection, it releases a horrible stench from the antennae on its head to drive away enemies.; It crawls into foliage where it camouflages itself among leaves that are the same color as its body.; It is covered with a green skin. When it grows, it sheds the skin, covers itself with silk, and becomes a cocoon.; If you touch the feeler on top of its head, it will release a horrible stink to protect itself.; When attacked by bird Pokémon, it resists by releasing a terrifically strong odor from its antennae, but it often becomes their prey.; Its body is soft and weak. In nature, its perpetual fate is to be seen by others as food.; It's easy to catch, and it grows quickly, making it one of the top recommendations for novice Pokémon Trainers.; It releases a stench from its red antenna to repel enemies. It grows by molting repeatedly.; Caterpie has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this Pokémon releases a terrifically strong odor.; Its voracious appetite compels it to devour leaves bigger than itself without hesitation. It releases a terribly strong odor from its antennae.; Perhaps because it would like to grow up quickly, it has a voracious appetite, eating a hundred leaves a day."
